cpu node sched    preempt  timer    ipi      elapsedsec    usedsec       idlesec       hltsec        partnerBusyTime bwait         anonsec       handoff  handoffF handoffSF hltEnd   hltIntr  rdispatch  rchoose    irebalresched irebalFailed htWholeCore   htIdleIPI  htSwIPI    htTagAbort htPreempt   exclusiveTo  execStatus   
0   0    544806137 0       0        606680579 5866368.544  518236.317    2509034.516   5270077.866   22268.988       0.000         69773.172     13253334 0        0         3035611138 2279309953 82128444 58930790 138925        0            487           0          0          0          0           0            0            
1   0    1465460994 0      0        166776522 5866368.544  330063.195    2509034.516   5477980.525   21692.661       0.000         47142.757     2016882  0        0         965709204 3948497829 21470998 23944342  146176        0            384           0          0          0          0           0            0            
2   0    3673720354 0      0        409212254 5866368.544  577872.335    2269339.724   5207518.129   36176.567       0.000         40103.494     2620732  0        0         1782539143 3763351640 16868880 48335178 267689        0            796           0          0          0          0           0            0            
3   0    131746450 0       0        242989399 5866368.544  749816.762    2269339.724   5037952.757   36701.081       0.000         39563.343     881178   0        0         156026883 442826400 13126518 34824502   219881        0            412           0          0          0          0           0            0            
4   0    1409604124 0      0        358003744 5866368.544  684327.670    2195441.790   5094715.087   41885.947       0.000         38230.236     1810227  0        0         1734665102 112184992 14747203 48214564  286010        0            976           0          0          0          0           0            0            
5   0    1088424206 0      0        248883860 5866368.544  791157.293    2195441.790   4990339.101   42252.644       0.000         37621.216     782662   0        0         633786469 670465436 12823625 36986172   251562        0            707           0          0          0          0           0            0            
6   0    1614073675 0      0        272560536 5866368.544  634258.405    2239590.720   5156107.552   35555.702       0.000         32740.520     1152915  0        0         3656664342 3620471400 11919039 37955650 229435        0            1600          0          0          0          0           0            0            
7   0    2544062914 0      0        222429995 5866368.544  752928.699    2239590.720   5037714.207   35743.769       0.000         33855.488     560425   0        0         3568617462 4237912778 11373599 32867134 207122        0            716           0          0          0          0           0            0            
8   0    3117826790 0      0        293601743 5866368.544  833717.456    2247673.235   4954158.340   34027.734       0.000         35382.872     827073   0        0         1891317938 697997446 13391582 40940137  202179        0            1157          0          0          0          0           0            0            
9   0    1624809079 0      0        185859131 5866368.544  537304.619    2247673.235   5260036.332   33700.819       0.000         32014.771     914135   0        0         1075161122 3144678831 10417102 27918700 191641        0            592           0          0          0          0           0            0            
10  0    394667163 0       0        265158019 5866368.544  730928.113    2195165.064   5052988.384   40070.417       0.000         35182.636     769833   0        0         459930394 159572378 12697578 39411063   236951        0            1244          0          0          0          0           0            0            
11  0    2990342985 0      0        229273376 5866368.544  745110.303    2195165.064   5040191.140   40135.181       0.000         34511.253     645584   0        0         3796033258 120233067 11599884 34473591  219526        0            725           0          0          0          0           0            0            
12  0    3964646569 0      0        217165205 5866368.544  616871.318    2246300.717   5177019.824   34637.467       0.000         30328.984     712916   0        0         2297507674 3473641194 10906320 33123564 197553        0            1338          0          0          0          0           0            0            
13  0    2672801031 0      0        227795784 5866368.544  756895.793    2246300.717   5035052.537   34927.752       0.000         33120.216     515216   0        0         3633827779 4163067167 11390660 33911181 182872        0            767           0          0          0          0           0            0            
14  0    2096975662 0      0        232327422 5866368.544  636660.610    2196717.475   5150763.219   39002.799       0.000         35029.684     1013388  0        0         3423330260 4171191670 12423340 35160623 218879        0            1040          0          0          0          0           0            0            
15  0    1599040199 0      0        247950545 5866368.544  836272.984    2196717.475   4947793.402   39474.583       0.000         35874.940     481421   0        0         884757485 710671278 12229129 36238203   197054        0            726           0          0          0          0           0            0            
16  0    1208611549 0      0        257372855 5866368.544  794914.607    2237187.025   4993825.966   34465.438       0.000         35180.276     564750   0        0         739624839 451966002 12356706 36779621   179458        0            882           0          0          0          0           0            0            
17  0    2706561534 0      0        193664174 5866368.545  597079.888    2237187.025   5198584.037   34273.066       0.000         32005.796     828397   0        0         1606495172 3385644873 10534038 29639104 171152        0            840           0          0          0          0           0            0            
18  0    544857111 0       0        249367236 5866368.545  731295.896    2195078.026   5053309.803   39721.942       0.000         36956.201     811295   0        0         413782202 467824742 12922975 37083255   206565        0            710           0          0          0          0           0            0            
19  0    3858416581 0      0        236358458 5866368.545  744916.597    2195078.026   5040565.360   39879.797       0.000         36058.661     785027   0        0         4212516793 327596567 12224264 35061657  190688        0            975           0          0          0          0           0            0            
20  0    4172698252 0      0        241996401 5866368.545  747642.307    2229355.231   5040869.490   36492.369       0.000         34987.171     547308   0        0         88841696 245360977 11880236  35263610   179030        0            698           0          0          0          0           0            0            
21  0    1042439428 0      0        210142480 5866368.545  660015.777    2229355.231   5131724.823   36529.282       0.000         32831.049     508441   0        0         2859607056 3936934333 10913648 31385827 168199        0            551           0          0          0          0           0            0            
22  0    3156207295 0      0        236254499 5866368.545  673893.882    2191127.654   5111252.981   40469.602       0.000         36958.048     930215   0        0         3888641107 158173228 12644392 35840006  201098        0            984           0          0          0          0           0            0            
23  0    1408684149 0      0        252604337 5866368.545  810219.355    2191127.654   4972689.769   40886.207       0.000         36928.072     589628   0        0         804257354 631866285 12431511 36625686   181609        0            807           0          0          0          0           0            0            
24  0    1745416914 0      0        223937059 5866368.545  635631.716    2210847.333   5153132.734   38310.082       0.000         35541.234     797019   0        0         3203517591 4089884174 11981150 33920719 184059        0            739           0          0          0          0           0            0            
25  0    697796374 0       0        240769244 5866368.545  809042.162    2210847.333   4976866.856   38779.691       0.000         34871.690     375856   0        0         469748310 545176198 11464800 35118372   164250        0            717           0          0          0          0           0            0            
26  0    4110334437 0      0        240777357 5866368.545  718283.965    2205587.209   5067819.185   38738.113       0.000         35981.918     681001   0        0         47338982 277368793 12266650  36311168   180621        0            688           0          0          0          0           0            0            
27  0    2905164162 0      0        227677847 5866368.545  736910.161    2205587.209   5050295.273   38945.841       0.000         33467.067     448589   0        0         3760225070 75534162 11105494 33979400   166053        0            714           0          0          0          0           0            0            
28  0    2579215690 0      0        225928366 5866368.545  767477.574    2344776.362   5034222.880   24794.709       0.000         32190.147     379363   0        0         3599586212 4129538528 10855838 32265353 100695        0            885           0          0          0          0           0            0            
29  0    4202074608 0      0        140793829 5866368.545  409338.246    2344776.362   5402918.201   24406.440       0.000         26139.512     629877   0        0         2507516159 1690364622 7849678 22053311  96173         0            664           0          0          0          0           0            0            
30  0    322311008 0       0        245078707 5866368.545  731218.715    2229371.564   5056088.494   37170.627       0.000         37437.127     657639   0        0         277728518 422654677 12447661 36218711   162982        0            633           0          0          0          0           0            0            
31  0    972046064 0       0        214108486 5866368.545  676406.702    2229371.564   5113968.198   37243.309       0.000         33834.040     626959   0        0         2810392671 4004127983 11175671 32052155 149578        0            561           0          0          0          0           0            0            
32  0    415842083 0       0        245265682 5866368.545  756587.349    2255178.305   5034063.741   33808.376       0.000         35164.240     526841   0        0         325528193 347571985 12136018 35675795   140437        0            698           0          0          0          0           0            0            
33  0    2649791744 0      0        192923752 5866368.545  599424.586    2255178.305   5197241.018   33684.732       0.000         31574.522     682766   0        0         1569180956 3421838355 10383807 29690157 133216        0            660           0          0          0          0           0            0            
34  0    309116478 0       0        246930163 5866368.545  719986.366    2211454.856   5063923.169   39711.685       0.000         38311.516     737370   0        0         266271156 465181725 12636592 36807941   165933        0            654           0          0          0          0           0            0            
35  0    2990752416 0      0        233767860 5866368.545  723472.466    2211454.856   5062045.855   39876.674       0.000         36962.920     680245   0        0         3782670250 135212523 11917360 34749448  153854        0            961           0          0          0          0           0            0            
36  0    3539052848 0      0        199765434 5866368.545  618980.547    2299662.335   5180304.450   30114.543       0.000         29978.152     316866   0        0         2016150463 3391710850 9582597 29975176  116093        0            540           0          0          0          0           0            0            
37  0    3137715670 0      0        195720300 5866368.545  648063.328    2299662.335   5151793.393   30267.193       0.000         29386.574     293791   0        0         1826187353 3317104112 9253102 29010960  108470        0            492           0          0          0          0           0            0            
38  0    994995455 0       0        247524329 5866368.545  757349.859    2234893.189   5029660.425   36734.802       0.000         36279.605     452016   0        0         603292634 589792092 12087631 35938855   143306        0            735           0          0          0          0           0            0            
39  0    842167970 0       0        211855202 5866368.545  639232.308    2234893.189   5152047.468   36678.298       0.000         34635.681     775683   0        0         2760887304 3963985835 11430912 31896664 136125        0            1066          0          0          0          0           0            0            
40  0    165975518 0       0        242756301 5866368.545  720525.710    2244585.071   5068290.480   36145.897       0.000         36931.573     611453   0        0         206169376 389001314 12413482 35427590   138715        0            356           0          0          0          0           0            0            
41  0    914562596 0       0        213280085 5866368.545  656672.692    2244585.071   5134890.863   36147.210       0.000         34529.090     775871   0        0         2790360634 3991296920 11584697 32047499 129264        0            794           0          0          0          0           0            0            
42  0    3118938643 0      0        231255519 5866368.545  655840.500    2222441.760   5131241.569   38292.190       0.000         37419.012     822857   0        0         3846713993 224240319 12607983 34441590  147861        0            1464          0          0          0          0           0            0            
43  0    445732668 0       0        243117228 5866368.545  765644.524    2222441.760   5020201.769   38673.358       0.000         36815.623     617276   0        0         330101248 474761601 12386087 35052385   134726        0            971           0          0          0          0           0            0            
44  0    3594712626 0      0        237087985 5866368.545  679109.938    2223375.723   5107413.087   38171.251       0.000         37875.648     805970   0        0         4085360328 321323829 12448432 34757674  143145        0            745           0          0          0          0           0            0            
45  0    3980496550 0      0        238920006 5866368.545  740507.161    2223375.723   5045802.227   38447.319       0.000         37497.669     715873   0        0         4256347810 347566252 12340471 35154067  132443        0            1260          0          0          0          0           0            0            
46  0    4178866315 0      0        240503804 5866368.545  705303.472    2226221.865   5080756.399   38279.967       0.000         37310.650     592841   0        0         69571825 387983163 12176562  35502129   137813        0            1063          0          0          0          0           0            0            
47  0    2735323684 0      0        230010570 5866368.545  708621.343    2226221.865   5078461.461   38402.520       0.000         36994.671     753385   0        0         3666235372 65513049 11940484 34111810   129666        0            1031          0          0          0          0           0            0            
48  0    742106935 0       0        179723558 5866368.545  525880.339    2283046.061   5275072.360   30307.697       0.000         31934.462     638344   0        0         656822431 3029704952 9742514 28196180   105505        0            640           0          0          0          0           0            0            
49  0    3320313504 0      0        232105254 5866368.545  774396.084    2283046.061   5020766.420   30838.843       0.000         34143.306     478180   0        0         3948230980 4291439635 11153496 33945251 95705         0            566           0          0          0          0           0            0            
50  0    2025296443 0      0        183286561 5866368.545  555020.596    2310651.921   5246109.270   29324.183       0.000         31515.918     557384   0        0         1267559496 3301722449 9814906 28094338  96997         0            1207          0          0          0          0           0            0            
51  0    1055885157 0      0        214693800 5866368.545  690044.107    2310651.921   5108448.519   29704.517       0.000         32857.276     426492   0        0         2871500199 3757989934 10348599 31238199 88481         0            758           0          0          0          0           0            0            
52  0    3585425819 0      0        239239204 5866368.545  677594.958    2237522.317   5109716.306   37471.960       0.000         38046.377     727959   0        0         4068419710 272029573 12344791 35616626  128879        0            747           0          0          0          0           0            0            
53  0    3321280549 0      0        232106696 5866368.545  713728.953    2237522.317   5074111.480   37717.736       0.000         36523.179     691529   0        0         3950206342 198248556 11965301 34879087  118239        0            712           0          0          0          0           0            0            
54  0    1339700147 0      0        154251376 5866368.545  420365.973    2320071.031   5387352.967   26950.804       0.000         28567.845     570106   0        0         3180732067 2101285534 8516770 24350947  85011         0            583           0          0          0          0           0            0            
55  0    3051551731 0      0        228257646 5866368.545  805860.510    2320071.031   4992228.369   27605.699       0.000         33775.677     391981   0        0         3809414612 4194217150 10819954 33233076 76276         0            617           0          0          0          0           0            0            
56  0    3096339677 0      0        601142085 5866368.545  490633.615    2500209.864   5300296.992   22545.049       0.000         66436.095     13139122 0        0         2142906536 1768597065 79645028 65957224 150069        0            215           0          0          0          0           0            0            
57  0    1868308063 0      0        172428770 5866368.545  375315.200    2500209.864   5432733.278   22219.378       0.000         46608.953     1954658  0        0         1133207428 3935376661 21413029 23765323 147756        0            166           0          0          0          0           0            0            
58  0    2080828573 0      0        398358368 5866368.545  555038.052    2294755.731   5235429.131   33594.444       0.000         38162.660     2663741  0        0         1039714277 3395672437 16540824 50048584 256184        0            655           0          0          0          0           0            0            
59  0    2808577700 0      0        219318080 5866368.545  721819.029    2294755.731   5070982.126   34055.502       0.000         36915.555     583316   0        0         3646782808 125160740 12253300 30995527  212114        0            493           0          0          0          0           0            0            
60  0    926875242 0       0        342508195 5866368.545  695414.130    2245251.604   5090457.321   37269.665       0.000         36519.356     1496755  0        0         1470486024 30349571 14259862 46599276   261919        0            659           0          0          0          0           0            0            
61  0    1598093353 0      0        215814662 5866368.545  680451.206    2245251.604   5110105.048   37384.956       0.000         36609.594     1069056  0        0         3062574522 4148979692 12560594 31383010 232922        0            734           0          0          0          0           0            0            
62  0    500112142 0       0        266009544 5866368.545  625425.863    2243492.717   5166017.882   35636.240       0.000         32374.597     1304267  0        0         3061717157 3477538314 12057442 37523249 240018        0            621           0          0          0          0           0            0            
63  0    3032134837 0      0        223734610 5866368.545  753957.246    2243492.717   5036788.505   35876.314       0.000         34600.167     548032   0        0         3755351716 77175358 11829885 32355228   218487        0            399           0          0          0          0           0            0            
64  0    2823591153 0      0        260940443 5866368.545  693963.301    2236806.150   5095588.816   36159.825       0.000         32542.409     1004007  0        0         3931577237 3953995901 12722258 37323518 269553        0            1179          0          0          0          0           0            0            
65  0    1037065010 0      0        207587803 5866368.545  698792.944    2236806.150   5093492.211   36239.875       0.000         31848.421     459835   0        0         2813587237 3982733195 10982290 31055393 240668        0            331           0          0          0          0           0            0            
66  0    1285979390 0      0        231841600 5866368.545  651590.826    2239920.027   5140147.922   35643.526       0.000         31511.521     824613   0        0         3094234116 3757694187 11717684 34431673 249279        0            370           0          0          0          0           0            0            
67  0    2251041922 0      0        216456682 5866368.545  734937.665    2239920.027   5057003.916   35855.726       0.000         33204.981     480313   0        0         3395368942 4185665525 11250557 31586842 225991        0            371           0          0          0          0           0            0            
68  0    831590589 0       0        225583289 5866368.545  634546.539    2226427.455   5156622.674   36677.129       0.000         34649.834     1112529  0        0         2807902534 3817640428 12110670 34351783 246613        0            654           0          0          0          0           0            0            
